"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","605.2","402.8","4,611.7","33.7","13.3","109.9","515.7","7.9","5.1","381.5"
"Patrick Mahomes II","KC","632.1","420.3","5,048.7","38.5","8.9","55.2","267.2","2.9","2.5","377.6"
"Kyler Murray","ARI","584.4","387.8","4,175.7","26.5","12.4","127.0","704.1","7.8","3.7","358.1"
"Lamar Jackson","BAL","462.2","295.8","3,377.4","29.0","12.2","152.4","918.3","6.6","4.0","350.2"
"Dak Prescott","DAL","617.3","412.5","4,807.8","31.1","11.0","64.1","299.5","4.0","4.1","340.5"
"Justin Herbert","LAC","617.5","403.5","4,632.7","31.0","12.0","61.5","273.4","4.4","2.6","333.9"
"Russell Wilson","SEA","570.4","380.5","4,247.9","34.4","12.3","83.3","450.1","2.1","3.5","333.3"
"Aaron Rodgers","GB","571.2","384.8","4,458.1","36.6","7.2","41.0","174.0","1.9","3.1","332.8"
"Tom Brady","TB","623.4","405.7","4,720.2","36.9","11.9","23.8","29.9","2.0","2.2","323.1"
"Jalen Hurts","PHI","542.5","329.0","3,747.1","22.6","15.1","138.0","711.0","6.2","4.9","308.7"
"Ryan Tannehill","TEN","531.2","351.4","4,153.3","30.5","10.5","51.6","227.7","3.4","2.9","304.7"
"Joe Burrow","CIN","611.8","400.6","4,320.8","26.4","11.5","54.3","228.0","3.0","4.2","288.0"
"Trevor Lawrence","JAC","597.6","382.7","4,239.4","24.8","13.4","66.8","343.3","2.5","5.3","280.5"
"Matthew Stafford","LAR","606.5","399.6","4,524.4","28.1","11.5","28.9","109.7","0.6","3.2","278.7"
"Kirk Cousins","MIN","542.9","365.4","4,287.1","30.0","13.0","35.3","114.3","1.1","4.1","275.2"
"Matt Ryan","ATL","613.8","401.3","4,516.7","26.8","12.8","33.2","119.3","1.4","4.3","273.8"
"Derek Carr","LV","565.1","374.5","4,312.8","26.7","10.9","31.9","112.4","1.8","5.3","269.1"
"Carson Wentz","IND","559.0","352.0","3,871.8","26.5","13.6","63.7","278.2","3.2","5.8","269.0"
"Tua Tagovailoa","MIA","574.6","375.0","3,957.0","25.9","13.5","54.3","205.7","2.7","1.7","268.3"
"Baker Mayfield","CLE","537.2","341.3","3,951.0","27.9","12.0","44.2","166.9","1.8","3.3","266.5"
"Ben Roethlisberger","PIT","623.3","404.7","4,216.1","29.7","14.4","20.8","44.9","0.5","2.3","261.7"
"Daniel Jones","NYG","546.8","342.3","3,755.6","22.8","13.6","71.0","406.9","2.7","8.5","254.0"
"Sam Darnold","CAR","555.5","350.5","3,923.4","22.0","15.0","50.3","219.8","3.3","3.9","249.3"
"Deshaun Watson","HOU","436.7","295.3","3,513.2","20.3","9.4","67.3","315.9","3.2","3.0","248.0"
