"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","297.2","1,301.7","12.0","93.7","758.1","4.3","2.5","345.3"
"Dalvin Cook","MIN","316.6","1,487.5","12.9","55.0","473.3","2.0","2.9","307.1"
"Derrick Henry","TEN","343.4","1,705.4","14.1","24.4","182.7","1.1","2.7","287.2"
"Alvin Kamara","NO","207.0","942.0","9.6","81.6","705.5","3.7","1.9","281.2"
"Saquon Barkley","NYG","265.2","1,199.5","8.9","56.0","434.9","1.9","1.8","253.1"
"Ezekiel Elliott","DAL","281.9","1,210.0","9.5","52.8","392.9","2.4","2.9","252.4"
"Aaron Jones","GB","232.5","1,126.5","10.4","50.8","391.6","2.7","2.1","251.6"
"Jonathan Taylor","IND","272.6","1,264.1","10.9","42.1","321.0","1.6","1.9","250.4"
"Austin Ekeler","LAC","178.2","813.6","4.7","79.3","684.2","4.6","1.6","242.5"
"Nick Chubb","CLE","271.6","1,362.4","11.0","29.3","229.1","1.0","1.9","241.8"
"Joe Mixon","CIN","274.9","1,157.5","8.1","50.4","369.2","2.9","2.0","239.6"
"Najee Harris","PIT","261.1","1,146.0","8.8","49.9","369.2","2.2","2.6","237.5"
"Antonio Gibson","WAS","242.6","1,086.7","9.7","46.4","337.7","1.5","2.1","228.3"
"Clyde Edwards-Helaire","KC","222.7","1,001.9","7.3","50.6","389.5","2.2","1.8","218.0"
"Chris Carson","SEA","230.4","1,055.2","7.4","43.5","322.5","2.4","2.1","214.0"
"David Montgomery","CHI","255.5","1,068.5","8.1","40.1","316.3","1.6","2.0","212.6"
"D'Andre Swift","DET","189.5","844.5","7.7","58.4","435.9","2.1","2.3","211.6"
"Josh Jacobs","LV","257.0","1,098.5","9.5","31.5","236.4","0.9","2.0","207.3"
"Miles Sanders","PHI","223.2","1,068.3","6.7","40.7","333.3","1.7","1.8","207.3"
"James Robinson","JAC","222.4","964.4","6.8","43.3","309.8","1.4","1.6","195.1"
"Mike Davis","ATL","222.0","877.0","6.3","48.5","309.3","1.7","1.9","187.1"
"Chase Edmonds","ARI","169.9","757.3","5.0","51.9","380.1","2.9","1.5","184.0"
"Darrell Henderson","LAR","206.5","895.1","7.1","30.0","250.6","1.5","1.7","178.0"
"Myles Gaskin","MIA","190.0","805.2","5.4","44.4","346.2","1.8","2.0","176.7"
"Gus Edwards","BAL","220.5","1,054.3","8.2","15.8","128.1","0.7","1.5","176.0"
"Kareem Hunt","CLE","154.7","685.0","5.5","39.6","318.4","2.5","1.3","165.7"
"Damien Harris","NE","223.0","1,046.2","6.5","12.5","93.7","0.3","1.4","158.3"
"Javonte Williams","DEN","192.4","854.4","5.7","26.3","204.7","1.1","2.0","155.6"
"Raheem Mostert","SF","155.1","772.4","6.0","24.0","208.2","1.3","1.4","150.9"
"Leonard Fournette","TB","164.6","674.4","6.2","26.7","182.4","0.8","1.2","138.1"
"Zack Moss","BUF","156.4","670.9","5.6","23.7","171.2","1.2","1.2","134.3"
"Melvin Gordon III","DEN","166.8","734.0","5.6","21.9","142.0","1.0","2.4","133.0"
"Kenyan Drake","LV","129.0","537.3","4.6","39.1","272.3","1.0","1.4","131.3"
"Trey Sermon","SF","149.4","678.3","5.6","19.6","159.5","1.0","1.8","129.7"
"James Conner","ARI","146.2","655.9","5.6","23.1","161.2","0.7","1.4","128.2"
"Michael Carter","NYJ","149.3","623.6","3.7","30.7","236.0","1.1","1.8","126.5"
"Ronald Jones II","TB","165.1","741.4","5.6","16.0","113.7","0.3","1.4","126.5"
"Jamaal Williams","DET","140.5","576.7","3.5","35.3","241.3","1.3","1.2","125.7"
"David Johnson","HOU","101.7","418.4","3.5","33.1","296.3","2.0","0.8","119.1"
"Sony Michel","LAR","151.5","663.4","4.9","14.7","124.8","0.7","0.7","118.1"
"J.D. McKissic","WAS","66.7","288.5","1.6","56.5","410.7","1.7","0.8","116.3"
