"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","112.4","1,399.7","10.3","0.8","256.1"
"George Kittle","SF","96.9","1,213.9","6.6","0.7","207.9"
"Darren Waller","LV","100.3","1,144.3","7.1","0.9","205.7"
"Mark Andrews","BAL","71.2","860.5","8.3","0.9","169.5"
"Kyle Pitts","ATL","69.7","841.5","6.4","1.2","155.1"
"T.J. Hockenson","DET","74.9","837.4","5.3","0.8","151.2"
"Logan Thomas","WAS","65.0","668.1","5.3","0.6","129.8"
"Tyler Higbee","LAR","61.1","681.6","5.4","0.6","129.6"
"Noah Fant","DEN","63.1","699.4","4.4","0.7","126.7"
"Robert Tonyan","GB","54.6","597.3","6.4","0.1","125.2"
"Dallas Goedert","PHI","61.6","678.5","4.7","0.7","125.2"
"Mike Gesicki","MIA","54.9","611.9","5.3","0.7","118.9"
"Jonnu Smith","NE","56.6","591.8","5.0","0.7","115.9"
"Jared Cook","LAC","46.0","575.8","5.1","0.6","110.0"
"Irv Smith Jr.","MIN","48.6","538.2","5.3","0.7","108.3"
"Evan Engram","NYG","57.6","584.0","3.6","0.7","107.3"
"Hunter Henry","NE","53.0","574.5","4.0","0.6","107.0"
"Blake Jarwin","DAL","50.9","574.5","4.2","0.7","106.7"
"Rob Gronkowski","TB","40.6","528.8","5.6","0.2","106.3"
"Eric Ebron","PIT","54.3","535.3","4.4","0.7","105.8"
"Austin Hooper","CLE","50.2","502.8","4.5","0.6","101.1"
"Anthony Firkser","TEN","49.1","526.6","4.0","0.1","100.8"
"Zach Ertz","PHI","50.2","510.5","3.5","0.6","95.8"
"Gerald Everett","SEA","44.9","462.0","4.2","0.7","92.7"
"Cole Kmet","CHI","48.4","481.3","3.7","1.2","92.2"
"Jordan Akins","HOU","43.1","453.7","2.8","0.1","83.4"
"Adam Trautman","NO","39.1","434.8","3.4","0.6","82.2"
"Dawson Knox","BUF","35.9","412.0","3.8","0.7","80.7"
"Hayden Hurst","ATL","38.4","404.6","3.0","0.1","77.4"
"C.J. Uzomah","CIN","36.8","357.9","3.3","0.1","73.5"
"Jack Doyle","IND","31.3","324.1","3.0","0.1","66.0"
"Donald Parham Jr.","LAC","28.0","339.1","2.5","0.1","62.7"
"Mo Alie-Cox","IND","29.7","325.6","2.5","0.6","61.1"
"Dan Arnold","CAR","27.7","346.8","2.3","0.7","61.1"
"O.J. Howard","TB","26.7","338.8","2.5","0.7","60.7"
"Chris Herndon IV","NYJ","32.0","321.7","2.5","1.6","59.8"
"Will Dissly","SEA","27.7","289.1","2.7","0.1","58.9"
"Juwan Johnson","NO","29.1","315.9","2.0","0.2","57.6"
"Tyler Conklin","MIN","27.0","284.2","2.2","0.1","54.7"
"Jimmy Graham","CHI","23.2","242.2","2.6","0.1","51.3"
"David Njoku","CLE","22.8","245.4","2.5","0.0","50.7"
"Stephen Carlson","CLE","20.0","218.0","3.0","0.0","49.8"
"Dalton Schultz","DAL","23.4","243.4","2.0","0.1","47.9"
"Maxx Williams","ARI","21.4","237.0","2.0","0.1","46.0"
"Geoff Swaim","TEN","24.0","223.4","1.9","0.1","45.4"
"Nick Boyle","BAL","23.0","213.4","2.1","0.0","45.1"
"Kyle Rudolph","NYG","23.1","212.7","1.7","0.1","43.1"
"Drew Sample","CIN","24.6","232.3","1.4","0.6","42.9"
"James O'Shaughnessy","JAC","23.4","230.4","1.0","0.1","40.4"
"Cameron Brate","TB","20.4","190.8","1.8","0.0","39.8"
"Pat Freiermuth","PIT","21.9","202.3","1.4","0.6","38.5"
"Tyler Kroft","NYJ","16.8","173.8","2.0","0.1","37.7"
"Harrison Bryant","CLE","18.4","198.6","1.8","1.1","37.5"
"Darren Fells","DET","18.1","188.4","1.6","0.0","37.4"
"Brevin Jordan","HOU","18.5","187.7","1.5","0.6","36.0"
"Foster Moreau","LV","13.9","152.0","2.1","0.1","34.8"
"Hunter Long","MIA","18.6","176.0","1.3","0.5","33.4"
"Ian Thomas","CAR","17.7","157.1","1.3","0.0","32.1"
"Albert Okwuegbunam","DEN","15.5","162.2","1.3","0.1","31.6"
"Adam Shaheen","MIA","15.0","153.2","1.7","1.0","31.2"
"Chris Manhertz","JAC","16.5","163.9","1.0","0.0","30.6"
"Pharaoh Brown","HOU","14.8","157.6","1.2","0.0","30.6"
"Noah Gray","KC","14.4","146.7","1.1","0.5","27.6"
"Marcedes Lewis","GB","11.5","121.0","1.4","0.0","26.2"
"Kyle Markway","CLE","13.0","130.0","1.0","0.0","25.5"
"Reggie Gilliam","BUF","11.0","77.0","2.0","0.0","25.2"
"Kahale Warring","IND","12.0","129.0","1.0","0.0","24.9"
"Luke Farrell","JAC","14.8","139.8","0.7","0.5","24.7"
"Thaddeus Moss","CIN","13.0","121.0","1.0","0.0","24.6"
"Jacob Harris","LAR","10.6","136.6","0.8","0.0","23.6"
"Ryan Griffin","NYJ","11.3","106.5","1.2","0.0","23.2"
"Darrell Daniels","ARI","11.4","122.3","0.9","0.1","23.1"
"Brycen Hopkins","LAR","12.5","127.4","0.7","0.1","23.1"
"Durham Smythe","MIA","13.1","108.2","1.0","0.0","23.1"
"Devin Asiasi","NE","10.5","117.9","1.1","0.5","22.5"
"Hunter Bryant","DET","10.3","122.5","0.8","0.0","22.3"
"Kylen Granson","IND","12.2","127.8","0.6","0.1","22.3"
"Ross Dwelley","SF","11.1","117.2","0.8","0.0","22.3"
"John Bates","WAS","12.4","119.2","0.8","0.5","21.6"
"Austin Fort","DEN","10.0","102.0","1.0","0.0","21.2"
"Derek Carrier","LV","10.0","91.9","1.2","0.0","21.1"
"Caleb Wilson","WAS","10.0","97.0","1.0","0.0","20.7"
"Jace Sternberger","GB","9.6","88.4","1.0","0.0","19.7"
"Tommy Sweeney","BUF","8.7","105.7","0.8","0.0","19.5"
"Blake Bell","KC","10.0","94.9","0.7","0.0","18.9"
"Jordan Thomas","IND","8.3","74.0","0.8","0.0","16.1"
"Tre' McKitty","LAC","7.7","81.6","0.4","0.0","14.5"
"Tommy Tremble","CAR","8.6","85.4","0.4","0.5","14.2"
"Jeremy Sprinkle","DAL","6.9","71.4","0.5","0.0","13.6"
"Antony Auclair","HOU","6.3","67.3","0.6","0.0","13.4"
"J.P. Holtz","CHI","5.9","73.2","0.5","0.0","13.3"
"Noah Togiai","IND","6.4","60.8","0.5","0.0","12.4"
"Daniel Brown","NYJ","5.4","63.6","0.5","0.0","12.1"
"Richard Rodgers","PHI","5.0","65.6","0.5","0.0","11.8"
"Charlie Woerner","SF","5.4","64.0","0.4","0.0","11.7"
"Stephen Anderson","LAC","5.3","65.6","0.4","0.0","11.6"
"Josh Oliver","BAL","5.4","56.0","0.6","0.1","11.6"
"Nick Vannett","NO","5.0","53.2","0.6","0.0","11.4"
"Zach Gentry","PIT","6.1","54.9","0.5","0.0","11.4"
"Jesse James","CHI","6.1","51.3","0.5","0.0","11.0"
"Nate Becker","BUF","4.2","43.8","0.5","0.0","9.1"
"Josiah Deguara","GB","4.3","47.0","0.4","0.1","9.0"
"Johnny Mundt","LAR","4.3","46.3","0.4","0.0","8.9"
"Ben Ellefson","JAC","4.3","43.5","0.3","0.0","8.5"
"Demetrius Harris","ARI","3.9","39.9","0.4","0.0","8.2"
"Luke Stocker","TEN","3.9","37.7","0.4","0.1","7.8"
"Alize Mack","DET","4.0","39.6","0.2","0.0","7.2"
"Mason Schreck","CIN","3.5","36.6","0.3","0.0","7.0"
"Brandon Dillon","MIN","3.2","35.1","0.3","0.0","6.8"
"Colby Parkinson","SEA","2.8","29.6","0.3","0.0","6.2"
