"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Christian McCaffrey",CAR,"2 out of 5 stars","1 out of 5 stars","302.4","0"
"2","Dalvin Cook",MIN,"3 out of 5 stars","0 out of 5 stars","268.8","0"
"3","Alvin Kamara",NO,"2 out of 5 stars","2 out of 5 stars","252.0","+1"
"4","Derrick Henry",TEN,"3 out of 5 stars","2 out of 5 stars","246.4","-1"
"5","Ezekiel Elliott",DAL,"3 out of 5 stars","1 out of 5 stars","221.2","0"
"6","Aaron Jones",GB,"1 out of 5 stars","1 out of 5 stars","219.8","+1"
"7","Nick Chubb",CLE,"4 out of 5 stars","4 out of 5 stars","218.4","-1"
"8","Jonathan Taylor",IND,"4 out of 5 stars","4 out of 5 stars","218.4","0"
"9","Joe Mixon",CIN,"3 out of 5 stars","2 out of 5 stars","212.8","+4"
"10","Saquon Barkley",NYG,"1 out of 5 stars","3 out of 5 stars","211.4","-1"
"11","Antonio Gibson",WAS,"3 out of 5 stars","3 out of 5 stars","208.6","+1"
"12","Austin Ekeler",LAC,"5 out of 5 stars","5 out of 5 stars","207.2","-2"
"13","Najee Harris",PIT,"5 out of 5 stars","4 out of 5 stars","200.2","-2"
"14","David Montgomery",CHI,"4 out of 5 stars","4 out of 5 stars","190.4","+2"
"15","Chris Carson",SEA,"1 out of 5 stars","3 out of 5 stars","187.6","0"
"16","Clyde Edwards-Helaire",KC,"4 out of 5 stars","3 out of 5 stars","186.2","-2"
"17","Miles Sanders",PHI,"3 out of 5 stars","2 out of 5 stars","184.8","+3"
"18","D'Andre Swift",DET,"1 out of 5 stars","2 out of 5 stars","182.0","+1"
"19","Darrell Henderson Jr.",LAR,"4 out of 5 stars","3 out of 5 stars","182.0","+4"
"20","Josh Jacobs",LV,"2 out of 5 stars","3 out of 5 stars","170.8","-3"
"21","Damien Harris",NE,"3 out of 5 stars","3 out of 5 stars","165.2","+4"
"22","Myles Gaskin",MIA,"4 out of 5 stars","1 out of 5 stars","161.0","-1"
"23","Mike Davis",ATL,"3 out of 5 stars","4 out of 5 stars","159.6","-1"
"24","Kareem Hunt",CLE,"4 out of 5 stars","4 out of 5 stars","154.0","0"
"25","Javonte Williams",DEN,"4 out of 5 stars","5 out of 5 stars","151.2","+3"
"26","James Robinson",JAC,"3 out of 5 stars","5 out of 5 stars","145.6","-8"
"27","Ty'Son Williams",BAL,"3 out of 5 stars","3 out of 5 stars","140.0","+30"
"28","Elijah Mitchell",SF,"3 out of 5 stars","3 out of 5 stars","135.8","+38"
"29","Chase Edmonds",ARI,"3 out of 5 stars","3 out of 5 stars","133.0","-2"
"30","Trey Sermon",SF,"3 out of 5 stars","3 out of 5 stars","120.4","0"
"31","Melvin Gordon III",DEN,"4 out of 5 stars","5 out of 5 stars","117.6","0"
"32","Jamaal Williams",DET,"1 out of 5 stars","2 out of 5 stars","117.6","+6"
"33","Leonard Fournette",TB,"0 out of 5 stars","3 out of 5 stars","116.2","0"
"34","Ronald Jones II",TB,"0 out of 5 stars","3 out of 5 stars","114.8","-2"
"35","Kenyan Drake",LV,"2 out of 5 stars","3 out of 5 stars","112.0","+5"
"36","AJ Dillon",GB,"1 out of 5 stars","1 out of 5 stars","110.6","-2"
"37","Devin Singletary",BUF,"4 out of 5 stars","3 out of 5 stars","110.6","+2"
"38","James Conner",ARI,"3 out of 5 stars","3 out of 5 stars","109.2","-1"
"39","Tony Jones Jr.",NO,"2 out of 5 stars","2 out of 5 stars","105.0","+22"
"40","Tony Pollard",DAL,"3 out of 5 stars","1 out of 5 stars","103.6","+3"
"41","Latavius Murray",BAL,"3 out of 5 stars","3 out of 5 stars","102.2","+9"
"42","Sony Michel",LAR,"4 out of 5 stars","3 out of 5 stars","102.2","0"
"43","Nyheim Hines",IND,"4 out of 5 stars","4 out of 5 stars","99.4","+1"
"44","James White",NE,"3 out of 5 stars","3 out of 5 stars","99.4","+2"
"45","Michael Carter",NYJ,"4 out of 5 stars","3 out of 5 stars","99.4","-10"
"46","Rhamondre Stevenson",NE,"3 out of 5 stars","3 out of 5 stars","98.0","+3"
"47","Kenneth Gainwell",PHI,"3 out of 5 stars","2 out of 5 stars","92.4","+12"
"48","Phillip Lindsay",HOU,"4 out of 5 stars","4 out of 5 stars","88.2","+3"
"49","David Johnson",HOU,"4 out of 5 stars","4 out of 5 stars","86.8","-8"
"50","Zack Moss",BUF,"4 out of 5 stars","3 out of 5 stars","82.6","-14"
"51","Alexander Mattison",MIN,"3 out of 5 stars","0 out of 5 stars","81.2","-6"
"52","Tevin Coleman",NYJ,"4 out of 5 stars","3 out of 5 stars","77.0","-4"
"53","J.D. McKissic",WAS,"3 out of 5 stars","3 out of 5 stars","75.6","-6"
"54","Mark Ingram II",HOU,"4 out of 5 stars","4 out of 5 stars","74.2","+2"
"55","Giovani Bernard",TB,"0 out of 5 stars","3 out of 5 stars","72.8","-2"
"56","Carlos Hyde",JAC,"3 out of 5 stars","5 out of 5 stars","72.8","+23"
"57","Salvon Ahmed",MIA,"4 out of 5 stars","1 out of 5 stars","70.0","+12"
"58","Damien Williams",CHI,"4 out of 5 stars","4 out of 5 stars","68.6","+4"
"59","Larry Rountree III",LAC,"5 out of 5 stars","5 out of 5 stars","68.6","+30"
"60","Ty Johnson",NYJ,"4 out of 5 stars","3 out of 5 stars","67.2","0"
"61","Malcolm Brown",MIA,"4 out of 5 stars","1 out of 5 stars","67.2","+7"
"62","Marlon Mack",IND,"4 out of 5 stars","4 out of 5 stars","65.8","-7"
"63","Chuba Hubbard",CAR,"2 out of 5 stars","1 out of 5 stars","64.4","-9"
"64","Wayne Gallman Jr.",ATL,"3 out of 5 stars","4 out of 5 stars","61.6","+19"
"65","Matt Breida",BUF,"4 out of 5 stars","3 out of 5 stars","60.2","+36"
"66","Boston Scott",PHI,"3 out of 5 stars","2 out of 5 stars","58.8","+10"
"67","Le'Veon Bell",BAL,"3 out of 5 stars","3 out of 5 stars","57.4","-"
"68","Samaje Perine",CIN,"3 out of 5 stars","2 out of 5 stars","54.6","+23"
"69","Rashaad Penny",SEA,"1 out of 5 stars","3 out of 5 stars","53.2","-17"
"70","Justin Jackson",LAC,"5 out of 5 stars","5 out of 5 stars","51.8","-3"
"71","Devontae Booker",NYG,"1 out of 5 stars","3 out of 5 stars","47.6","-7"
"72","Jeff Wilson Jr.",SF,"3 out of 5 stars","3 out of 5 stars","47.6","+5"
"73","Jerick McKinnon",KC,"4 out of 5 stars","3 out of 5 stars","46.2","+14"
