"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Travis Kelce",KC,"2 out of 5 stars","2 out of 5 stars","224.0","0"
"2","Darren Waller",LV,"4 out of 5 stars","4 out of 5 stars","182.0","0"
"3","George Kittle",SF,"4 out of 5 stars","5 out of 5 stars","179.2","0"
"4","T.J. Hockenson",DET,"4 out of 5 stars","3 out of 5 stars","149.8","+2"
"5","Mark Andrews",BAL,"4 out of 5 stars","4 out of 5 stars","135.8","0"
"6","Kyle Pitts",ATL,"2 out of 5 stars","2 out of 5 stars","133.0","-2"
"7","Tyler Higbee",LAR,"2 out of 5 stars","3 out of 5 stars","113.4","+3"
"8","Logan Thomas",WAS,"3 out of 5 stars","3 out of 5 stars","113.4","-1"
"9","Rob Gronkowski",TB,"3 out of 5 stars","3 out of 5 stars","112.0","+3"
"10","Noah Fant",DEN,"4 out of 5 stars","3 out of 5 stars","109.2","-2"
"11","Jonnu Smith",NE,"5 out of 5 stars","3 out of 5 stars","109.2","+4"
"12","Dallas Goedert",PHI,"2 out of 5 stars","2 out of 5 stars","103.6","-1"
"13","Robert Tonyan",GB,"3 out of 5 stars","5 out of 5 stars","100.8","-4"
"14","Gerald Everett",SEA,"1 out of 5 stars","4 out of 5 stars","96.6","+3"
"15","Cole Kmet",CHI,"1 out of 5 stars","2 out of 5 stars","93.8","+13"
"16","Jared Cook",LAC,"3 out of 5 stars","3 out of 5 stars","92.4","+3"
"17","Mike Gesicki",MIA,"5 out of 5 stars","4 out of 5 stars","91.0","-4"
"18","Hunter Henry",NE,"5 out of 5 stars","3 out of 5 stars","91.0","-2"
"19","Evan Engram",NYG,"4 out of 5 stars","4 out of 5 stars","88.2","-1"
"20","Austin Hooper",CLE,"2 out of 5 stars","2 out of 5 stars","88.2","+5"
"21","Zach Ertz",PHI,"2 out of 5 stars","2 out of 5 stars","85.4","-7"
"22","Adam Trautman",NO,"4 out of 5 stars","4 out of 5 stars","84.0","0"
"23","Juwan Johnson",NO,"4 out of 5 stars","4 out of 5 stars","81.2","+8"
"24","Blake Jarwin",DAL,"2 out of 5 stars","2 out of 5 stars","79.8","-1"
"25","Anthony Firkser",TEN,"2 out of 5 stars","2 out of 5 stars","75.6","+2"
"26","Eric Ebron",PIT,"4 out of 5 stars","3 out of 5 stars","72.8","-5"
"27","Pat Freiermuth",PIT,"4 out of 5 stars","3 out of 5 stars","71.4","-7"
"28","Tyler Kroft",NYJ,"3 out of 5 stars","3 out of 5 stars","68.6","+6"
"29","Dalton Schultz",DAL,"2 out of 5 stars","2 out of 5 stars","64.4","+9"
"30","Dawson Knox",BUF,"2 out of 5 stars","2 out of 5 stars","64.4","-6"
"31","Hayden Hurst",ATL,"2 out of 5 stars","2 out of 5 stars","60.2","-2"
"32","Tyler Conklin",MIN,"2 out of 5 stars","3 out of 5 stars","57.4","+14"
"33","Dan Arnold",CAR,"3 out of 5 stars","5 out of 5 stars","57.4","+2"
"34","David Njoku",CLE,"2 out of 5 stars","2 out of 5 stars","56.0","+8"
"35","O.J. Howard",TB,"3 out of 5 stars","3 out of 5 stars","54.6","-5"
"36","Mo Alie-Cox",IND,"4 out of 5 stars","1 out of 5 stars","53.2","+1"
"37","Jimmy Graham",CHI,"1 out of 5 stars","2 out of 5 stars","53.2","-4"
"38","Jack Doyle",IND,"4 out of 5 stars","1 out of 5 stars","51.8","+6"
"39","Chris Herndon IV",MIN,"2 out of 5 stars","3 out of 5 stars","50.4","-3"
"40","Albert Okwuegbunam",DEN,"4 out of 5 stars","3 out of 5 stars","49.0","+7"
"41","James O'Shaughnessy",JAC,"4 out of 5 stars","5 out of 5 stars","49.0","+4"
"42","Will Dissly",SEA,"1 out of 5 stars","4 out of 5 stars","47.6","+6"
"43","Pharaoh Brown",HOU,"4 out of 5 stars","4 out of 5 stars","44.8","-"
"44","C.J. Uzomah",CIN,"2 out of 5 stars","2 out of 5 stars","44.8","-5"
"45","Kyle Rudolph",NYG,"4 out of 5 stars","4 out of 5 stars","43.4","+7"
"46","Jordan Akins",HOU,"4 out of 5 stars","4 out of 5 stars","40.6","-20"
"47","Donald Parham Jr.",LAC,"3 out of 5 stars","3 out of 5 stars","40.6","-6"
"48","Ian Thomas",CAR,"3 out of 5 stars","5 out of 5 stars","39.2","-"
"49","Drew Sample",CIN,"2 out of 5 stars","2 out of 5 stars","39.2","+7"
"50","Ryan Griffin",NYJ,"3 out of 5 stars","3 out of 5 stars","37.8","-"
"51","Maxx Williams",ARI,"2 out of 5 stars","2 out of 5 stars","37.8","-"
"52","Brevin Jordan",HOU,"4 out of 5 stars","4 out of 5 stars","36.4","-"
"53","Jacob Hollister",JAC,"4 out of 5 stars","5 out of 5 stars","36.4","+5"
"54","Harrison Bryant",CLE,"2 out of 5 stars","2 out of 5 stars","36.4","+3"
"55","Foster Moreau",LV,"4 out of 5 stars","4 out of 5 stars","33.6","-12"
"56","Kylen Granson",IND,"4 out of 5 stars","1 out of 5 stars","33.6","-7"
