"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Tyreek Hill",KC,"2 out of 5 stars","3 out of 5 stars","247.8","+1"
"2","Davante Adams",GB,"2 out of 5 stars","2 out of 5 stars","243.6","-1"
"3","DeAndre Hopkins",ARI,"2 out of 5 stars","3 out of 5 stars","226.8","+2"
"4","Stefon Diggs",BUF,"3 out of 5 stars","2 out of 5 stars","219.8","-1"
"5","Calvin Ridley",ATL,"3 out of 5 stars","3 out of 5 stars","215.6","-1"
"6","D.K. Metcalf",SEA,"1 out of 5 stars","2 out of 5 stars","203.0","0"
"7","Justin Jefferson",MIN,"3 out of 5 stars","1 out of 5 stars","203.0","0"
"8","A.J. Brown",TEN,"3 out of 5 stars","4 out of 5 stars","198.8","0"
"9","CeeDee Lamb",DAL,"1 out of 5 stars","2 out of 5 stars","196.0","+3"
"10","Keenan Allen",LAC,"3 out of 5 stars","3 out of 5 stars","186.2","-1"
"11","Allen Robinson II",CHI,"4 out of 5 stars","3 out of 5 stars","182.0","0"
"12","Amari Cooper",DAL,"1 out of 5 stars","2 out of 5 stars","180.6","+4"
"13","Terry McLaurin",WAS,"4 out of 5 stars","5 out of 5 stars","180.6","-3"
"14","Cooper Kupp",LAR,"5 out of 5 stars","4 out of 5 stars","179.2","+3"
"15","Chris Godwin",TB,"2 out of 5 stars","2 out of 5 stars","177.8","0"
"16","Robert Woods",LAR,"5 out of 5 stars","4 out of 5 stars","175.0","-2"
"17","Diontae Johnson",PIT,"3 out of 5 stars","3 out of 5 stars","173.6","+4"
"18","Tyler Lockett",SEA,"1 out of 5 stars","2 out of 5 stars","172.2","+1"
"19","D.J. Moore",CAR,"5 out of 5 stars","4 out of 5 stars","169.4","+3"
"20","Adam Thielen",MIN,"3 out of 5 stars","1 out of 5 stars","168.0","0"
"21","Tee Higgins",CIN,"2 out of 5 stars","2 out of 5 stars","166.6","+3"
"22","Mike Evans",TB,"2 out of 5 stars","2 out of 5 stars","161.0","-9"
"23","Julio Jones",TEN,"3 out of 5 stars","4 out of 5 stars","161.0","-5"
"24","Antonio Brown",TB,"2 out of 5 stars","2 out of 5 stars","156.8","+10"
"25","Chase Claypool",PIT,"3 out of 5 stars","3 out of 5 stars","156.8","0"
"26","Ja'Marr Chase",CIN,"2 out of 5 stars","2 out of 5 stars","152.6","+1"
"27","DeVonta Smith",PHI,"2 out of 5 stars","2 out of 5 stars","152.6","+6"
"28","Robby Anderson",CAR,"5 out of 5 stars","4 out of 5 stars","151.2","+3"
"29","Deebo Samuel",SF,"4 out of 5 stars","5 out of 5 stars","151.2","+7"
"30","Courtland Sutton",DEN,"4 out of 5 stars","4 out of 5 stars","149.8","+5"
"31","Corey Davis",NYJ,"4 out of 5 stars","3 out of 5 stars","149.8","+8"
"32","Jaylen Waddle",MIA,"3 out of 5 stars","3 out of 5 stars","149.8","+14"
"33","Brandin Cooks",HOU,"3 out of 5 stars","4 out of 5 stars","149.8","+7"
"34","Kenny Golladay",NYG,"4 out of 5 stars","4 out of 5 stars","147.0","-5"
"35","JuJu Smith-Schuster",PIT,"3 out of 5 stars","3 out of 5 stars","145.6","-3"
"36","Tyler Boyd",CIN,"2 out of 5 stars","2 out of 5 stars","142.8","+1"
"37","Laviska Shenault Jr.",JAC,"4 out of 5 stars","5 out of 5 stars","141.4","+1"
"38","Will Fuller V",MIA,"3 out of 5 stars","3 out of 5 stars","140.0","+5"
"39","Mike Williams",LAC,"3 out of 5 stars","3 out of 5 stars","138.6","+8"
"40","Brandon Aiyuk",SF,"4 out of 5 stars","5 out of 5 stars","137.2","-17"
"41","D.J. Chark Jr.",JAC,"4 out of 5 stars","5 out of 5 stars","135.8","0"
"42","Odell Beckham Jr.",CLE,"2 out of 5 stars","2 out of 5 stars","134.4","-16"
