"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","37.9","25.2","315.8","2.4","0.5","4.1","17.2","0.2","0.1","23.9"
"Kyler Murray","ARI","36.1","24.1","266.2","1.7","0.7","7.5","41.5","0.5","0.2","22.4"
"Josh Allen","BUF","34.7","21.8","252.3","1.9","0.8","7.7","39.8","0.4","0.3","21.8"
"Lamar Jackson","BAL","26.8","17.3","202.0","1.5","0.6","10.8","63.9","0.5","0.3","21.7"
"Dak Prescott","DAL","36.4","24.5","288.0","1.8","0.5","4.1","20.7","0.3","0.3","20.6"
"Russell Wilson","SEA","33.1","22.0","253.1","2.1","0.6","4.7","24.8","0.1","0.2","20.2"
"Tom Brady","TB","37.5","24.4","283.8","2.2","0.6","1.4","2.4","0.1","0.1","19.7"
"Aaron Rodgers","GB","34.8","22.9","266.3","2.1","0.3","2.8","12.7","0.1","0.2","19.5"
"Jalen Hurts","PHI","34.8","22.3","260.6","1.6","0.9","5.7","29.8","0.3","0.2","19.4"
"Justin Herbert","LAC","35.6","23.5","262.2","1.7","0.6","4.0","15.6","0.2","0.1","18.6"
"Ryan Tannehill","TEN","30.6","20.1","238.8","2.0","0.7","3.1","14.6","0.1","0.2","18.0"
"Matthew Stafford","LAR","35.2","23.3","272.1","2.0","0.6","2.0","7.5","0.0","0.3","17.9"
"Joe Burrow","CIN","39.1","25.8","282.6","1.5","0.5","3.6","11.6","0.2","0.4","17.8"
"Matt Ryan","ATL","36.9","24.6","285.5","1.7","0.7","2.1","7.9","0.1","0.3","17.7"
"Trevor Lawrence","JAC","34.6","22.9","260.4","1.8","0.7","3.3","12.6","0.1","0.2","17.6"
"Kirk Cousins","MIN","32.9","22.0","256.7","1.9","0.6","2.1","7.0","0.0","0.3","16.9"
"Baker Mayfield","CLE","33.3","21.4","251.2","1.7","0.8","2.6","10.5","0.1","0.2","16.5"
"Derek Carr","LV","35.7","23.9","270.1","1.6","0.7","1.8","5.6","0.1","0.3","16.3"
"Ryan Fitzpatrick","WAS","33.5","21.8","251.4","1.4","1.0","3.3","15.2","0.1","0.1","15.9"
"Tua Tagovailoa","MIA","35.5","23.1","234.9","1.3","0.8","4.2","13.7","0.3","0.1","15.9"
"Carson Wentz","IND","36.3","22.5","249.0","1.5","0.7","3.9","13.8","0.1","0.4","15.8"
"Ben Roethlisberger","PIT","37.7","24.6","255.4","1.7","0.9","1.3","2.9","0.0","0.1","15.4"
"Daniel Jones","NYG","34.2","21.6","231.4","1.2","0.8","4.6","29.0","0.2","0.7","15.2"
"Zach Wilson","NYJ","33.3","21.6","239.6","1.3","0.8","3.6","13.6","0.1","0.2","15.0"
"Sam Darnold","CAR","32.2","20.0","218.7","1.4","0.9","3.0","11.8","0.1","0.2","14.2"
"Cam Newton","NE","21.8","13.9","153.2","0.7","0.6","6.1","28.0","0.4","0.1","12.6"
"Jared Goff","DET","33.1","21.3","234.6","1.0","0.7","2.0","6.3","0.1","0.2","12.4"
"Jacob Eason","IND","29.4","18.3","193.9","0.9","0.8","3.5","13.0","0.1","0.2","11.4"
"Jameis Winston","NO","22.6","14.5","191.6","0.9","0.9","2.0","8.2","0.0","0.3","9.8"
"Deshaun Watson","HOU","20.1","13.3","149.8","0.7","0.4","3.2","15.2","0.1","0.1","9.7"
"Jimmy Garoppolo","SF","20.4","14.0","170.1","0.8","0.6","1.5","3.3","0.1","0.1","9.1"
"Tyrod Taylor","HOU","20.3","12.5","134.2","0.6","0.3","3.9","16.9","0.1","0.1","8.8"
"Trey Lance","SF","21.3","13.5","150.7","0.7","0.5","2.7","9.1","0.1","0.2","8.6"
"Taysom Hill","NO","11.2","7.1","78.7","0.4","0.3","4.5","25.6","0.3","0.1","8.4"
"Justin Fields","CHI","21.5","13.4","142.1","0.6","0.5","2.7","9.4","0.1","0.2","8.0"
"Drew Lock","DEN","21.2","11.7","135.9","0.5","0.6","2.6","10.9","0.1","0.2","7.4"
"Teddy Bridgewater","DEN","20.8","13.6","136.5","0.4","0.5","2.4","8.3","0.0","0.1","6.7"
"Andy Dalton","CHI","22.8","13.6","135.4","0.5","0.6","1.6","4.3","0.0","0.2","6.5"
"Mac Jones","NE","10.8","6.5","70.1","0.3","0.4","1.3","4.6","0.1","0.1","3.9"
"Davis Mills","HOU","7.2","4.1","38.2","0.0","0.3","1.0","2.3","0.0","0.1","1.0"
""
""
