"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","18.7","86.5","0.8","6.1","51.2","0.3","0.0","23.4"
"Dalvin Cook","MIN","20.3","100.6","0.9","3.6","33.3","0.1","0.2","20.8"
"Alvin Kamara","NO","12.0","58.3","0.6","5.2","47.7","0.2","0.0","18.2"
"Derrick Henry","TEN","20.6","102.6","0.9","1.4","11.2","0.1","0.1","17.9"
"Saquon Barkley","NYG","15.9","76.4","0.6","4.3","34.0","0.2","0.0","17.8"
"Aaron Jones","GB","14.4","70.9","0.7","3.3","21.2","0.2","0.1","15.8"
"Jonathan Taylor","IND","16.9","76.0","0.8","2.4","16.6","0.1","0.1","15.7"
"Ezekiel Elliott","DAL","17.3","75.3","0.5","3.5","28.3","0.2","0.2","15.6"
"Joe Mixon","CIN","17.7","78.8","0.5","3.0","24.1","0.1","0.1","15.4"
"Austin Ekeler","LAC","10.6","53.1","0.3","4.4","42.2","0.3","0.1","15.4"
"Nick Chubb","CLE","16.0","86.6","0.6","2.0","14.3","0.1","0.1","15.1"
"Antonio Gibson","WAS","15.4","71.6","0.7","3.0","19.9","0.1","0.2","15.0"
"Najee Harris","PIT","14.7","71.0","0.6","3.0","22.5","0.2","0.1","15.0"
"Clyde Edwards-Helaire","KC","15.5","74.1","0.4","3.4","28.2","0.1","0.0","15.0"
"J.K. Dobbins","BAL","11.3","66.9","0.9","2.2","14.6","0.1","0.0","14.8"
"Miles Sanders","PHI","13.0","69.8","0.4","2.8","26.8","0.1","0.1","14.2"
"D'Andre Swift","DET","12.1","51.8","0.7","3.6","25.8","0.2","0.2","14.2"
"Chris Carson","SEA","16.3","74.6","0.5","2.6","18.6","0.2","0.1","14.0"
"Mike Davis","ATL","14.5","61.6","0.6","3.2","21.1","0.1","0.0","14.0"
"Darrell Henderson","LAR","14.6","70.4","0.6","1.9","16.1","0.1","0.0","14.0"
"Josh Jacobs","LV","16.8","76.0","0.6","2.2","15.7","0.0","0.1","13.7"
"David Montgomery","CHI","16.9","70.8","0.5","2.4","18.7","0.1","0.1","13.6"
"Myles Gaskin","MIA","13.4","59.2","0.4","2.9","25.0","0.1","0.2","12.6"
"Travis Etienne","JAC","10.8","50.0","0.3","3.4","26.3","0.1","0.1","12.0"
"Chase Edmonds","ARI","8.9","42.7","0.3","3.2","23.4","0.2","0.0","11.0"
"Kareem Hunt","CLE","9.2","43.1","0.2","2.7","21.0","0.2","0.0","10.0"
"Damien Harris","NE","14.7","69.8","0.3","0.9","5.7","0.0","0.0","9.9"
"Javonte Williams","DEN","11.6","50.1","0.3","2.4","15.5","0.1","0.1","9.8"
"Melvin Gordon III","DEN","12.1","47.0","0.3","2.3","14.5","0.1","0.1","9.5"
"Raheem Mostert","SF","10.3","51.9","0.3","1.8","11.2","0.1","0.2","9.2"
