"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","7.3","91.5","0.7","0.1","16.7"
"Darren Waller","LV","6.8","76.2","0.4","0.1","13.2"
"George Kittle","SF","5.6","74.2","0.4","0.0","12.9"
"Mark Andrews","BAL","4.5","56.4","0.4","0.0","10.2"
"Kyle Pitts","ATL","4.9","55.2","0.3","0.0","9.5"
"T.J. Hockenson","DET","4.7","48.3","0.4","0.1","9.2"
"Dallas Goedert","PHI","4.6","50.0","0.3","0.1","9.0"
"Noah Fant","DEN","4.5","51.7","0.1","0.1","8.0"
"Tyler Higbee","LAR","4.0","44.9","0.2","0.0","7.8"
"Logan Thomas","WAS","4.7","45.8","0.1","0.0","7.8"
"Mike Gesicki","MIA","4.3","47.4","0.1","0.1","7.5"
"Robert Tonyan","GB","3.9","42.8","0.2","0.0","7.4"
"Irv Smith Jr.","MIN","4.1","43.0","0.2","0.0","7.4"
"Evan Engram","NYG","4.1","44.7","0.1","0.0","7.1"
"Blake Jarwin","DAL","3.6","40.6","0.1","0.0","6.7"
"Jonnu Smith","NE","3.5","39.6","0.1","0.0","6.5"
"Hunter Henry","NE","3.6","40.3","0.1","0.0","6.5"
"Rob Gronkowski","TB","2.9","39.2","0.2","0.0","6.4"
"Eric Ebron","PIT","3.6","37.6","0.1","0.1","6.2"
"Austin Hooper","CLE","3.7","36.2","0.1","0.0","6.2"
"Cole Kmet","CHI","4.2","37.0","0.1","0.2","6.1"
"Zach Ertz","PHI","3.6","36.6","0.1","0.0","6.0"
"Adam Trautman","NO","3.2","34.9","0.1","0.0","5.8"
"Jared Cook","LAC","2.8","34.9","0.1","0.0","5.6"
"Hayden Hurst","ATL","2.9","31.2","0.1","0.0","5.3"
"Gerald Everett","SEA","2.9","31.1","0.1","0.1","5.2"
"Anthony Firkser","TEN","2.7","29.2","0.1","0.0","5.1"
"Chris Herndon IV","NYJ","2.8","30.5","0.1","0.1","4.8"
"Dawson Knox","BUF","2.4","27.4","0.1","0.1","4.4"
"Jack Doyle","IND","2.2","21.0","0.1","0.1","3.7"
"Jordan Akins","HOU","1.8","21.4","0.1","0.0","3.6"
