"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Tyreek Hill","KC","6.3","94.7","0.8","0.9","5.2","0.1","0.0","17.9"
"DeAndre Hopkins","ARI","7.6","93.7","0.6","0.0","0.1","0.0","0.1","16.3"
"Stefon Diggs","BUF","7.1","89.9","0.6","0.4","2.0","0.0","0.1","16.3"
"Davante Adams","GB","7.0","84.6","0.7","0.0","0.0","0.0","0.0","16.2"
"Calvin Ridley","ATL","6.2","87.5","0.6","0.4","1.9","0.0","0.1","15.6"
"Justin Jefferson","MIN","5.9","90.0","0.4","0.1","0.2","0.0","0.0","14.5"
"A.J. Brown","TEN","5.1","78.8","0.6","0.1","1.1","0.0","0.0","14.1"
"D.K. Metcalf","SEA","5.1","79.1","0.6","0.0","0.2","0.0","0.1","13.9"
"Terry McLaurin","WAS","5.8","78.3","0.4","0.2","1.2","0.0","0.0","13.0"
"Keenan Allen","LAC","6.3","72.0","0.4","0.4","2.0","0.0","0.1","12.8"
"Mike Evans","TB","4.7","72.6","0.5","0.0","0.0","0.0","0.0","12.5"
"Allen Robinson II","CHI","6.1","73.9","0.3","0.0","0.1","0.0","0.0","12.4"
"CeeDee Lamb","DAL","5.7","74.1","0.3","0.4","2.9","0.0","0.1","12.2"
"Julio Jones","TEN","5.5","75.9","0.3","0.0","0.3","0.0","0.0","12.2"
"Robert Woods","LAR","5.9","69.5","0.3","0.9","5.2","0.0","0.0","12.2"
"D.J. Moore","CAR","5.5","78.0","0.2","0.4","3.5","0.0","0.1","12.2"
"Tee Higgins","CIN","5.6","76.6","0.3","0.2","1.0","0.0","0.1","12.0"
"Ja'Marr Chase","CIN","5.2","70.5","0.4","0.1","0.8","0.0","0.0","12.0"
"Chris Godwin","TB","5.1","69.0","0.4","0.0","0.1","0.0","0.0","12.0"
"Adam Thielen","MIN","5.3","68.7","0.4","0.1","0.5","0.0","0.1","11.9"
"Tyler Lockett","SEA","5.4","65.4","0.4","0.2","0.9","0.0","0.0","11.8"
"Odell Beckham Jr.","CLE","5.1","68.6","0.4","0.2","1.5","0.0","0.1","11.6"
"Cooper Kupp","LAR","5.3","63.1","0.4","0.2","1.3","0.0","0.0","11.4"
"Kenny Golladay","NYG","4.5","69.2","0.3","0.0","0.2","0.0","0.0","11.2"
"Brandon Aiyuk","SF","4.7","59.7","0.3","0.5","4.3","0.1","0.0","11.0"
"Diontae Johnson","PIT","6.1","63.4","0.3","0.2","1.5","0.0","0.1","11.0"
"Amari Cooper","DAL","5.1","69.1","0.2","0.1","0.3","0.0","0.0","10.8"
"Tyler Boyd","CIN","5.3","62.6","0.2","0.1","0.7","0.0","0.0","10.4"
"Chase Claypool","PIT","4.7","60.5","0.3","0.3","0.6","0.1","0.1","10.3"
"Deebo Samuel","SF","4.5","62.1","0.2","0.8","6.0","0.1","0.1","10.3"
"D.J. Chark Jr.","JAC","4.6","61.4","0.3","0.0","0.3","0.0","0.0","10.3"
"Courtland Sutton","DEN","4.5","66.0","0.2","0.1","0.3","0.0","0.0","10.2"
"Brandin Cooks","HOU","4.5","65.4","0.2","0.2","1.1","0.0","0.0","10.0"
"Antonio Brown","TB","4.6","55.5","0.4","0.0","0.2","0.0","0.0","10.0"
"Robby Anderson","CAR","4.7","60.2","0.3","0.2","0.8","0.0","0.1","10.0"
"Laviska Shenault Jr.","JAC","5.1","54.7","0.2","1.3","6.8","0.0","0.0","10.0"
"DeVante Parker","MIA","4.7","61.0","0.2","0.0","0.0","0.0","0.0","9.9"
"DeVonta Smith","PHI","4.6","60.7","0.2","0.1","0.7","0.0","0.0","9.8"
"Jarvis Landry","CLE","5.1","58.5","0.2","0.1","0.5","0.0","0.1","9.8"
"JuJu Smith-Schuster","PIT","5.1","54.9","0.3","0.0","0.1","0.0","0.1","9.7"
"Jerry Jeudy","DEN","4.0","57.8","0.3","0.0","0.0","0.0","0.0","9.5"
"Curtis Samuel","WAS","4.6","54.4","0.1","1.0","6.1","0.1","0.0","9.4"
"Michael Gallup","DAL","4.0","60.5","0.2","0.0","0.0","0.0","0.0","9.2"
